Date,Open,High,Low,Close,Volume
03-01-2005,45.27227318,45.61112009,45.26200675,45.55978012,1168000
04-01-2005,45.54955095,45.56495256,45.08234787,45.08234787,1935400
05-01-2005,45.17476159,45.46227269,45.14909355,45.32365036,1094100
06-01-2005,45.32880124,45.45715327,45.29286283,45.3544693,1057400
07-01-2005,45.5700999,45.6265751,45.35960072,45.45714951,738700
10-01-2005,45.5084778,45.54955137,45.42119939,45.52901459,379400
11-01-2005,45.64196995,45.83706357,45.55982279,45.79598999,844100
12-01-2005,45.62656914,45.91921153,45.59063074,45.85760117,722000
13-01-2005,46.0783753,46.29914093,46.06810886,46.29914093,1876700
14-01-2005,46.15538408,46.41208811,46.10917532,46.29400253,1043800
17-01-2005,46.15538408,46.41208811,46.10917532,46.29400253,0
18-01-2005,46.1040461,46.458295,46.06810769,46.44802856,1251600
19-01-2005,46.6174394,46.63797227,46.34532992,46.58150101,655800
20-01-2005,46.42237731,46.7304215,46.38643889,46.6739502,1064200
21-01-2005,46.51478152,46.74581756,46.47370793,46.72528076,606300
24-01-2005,46.76631318,46.97681225,46.72010836,46.92547226,561400
25-01-2005,46.90492664,46.92546342,46.46853089,46.4839325,1942200
26-01-2005,46.64313156,46.67906998,46.53018114,46.57125473,709800
27-01-2005,46.47366215,46.56607569,46.38124861,46.4839325,463900
28-01-2005,46.8330902,47.02818388,46.80741823,46.95117188,1128000
31-01-2005,46.8895545,47.10518492,46.86901771,47.08464813,1313900
01-02-2005,47.1232798,47.15419933,46.922295,47.00990295,948200
02-02-2005,46.99958309,47.13357423,46.94289468,47.11811447,760300
03-02-2005,46.92745833,47.12329255,46.92745833,47.09236908,505800
04-02-2005,47.65410558,47.89631913,47.64895101,47.74686813,3483900
07-02-2005,47.79323277,48.14366854,47.77261844,48.10243988,1064600
08-02-2005,48.11789139,48.50440117,48.09727707,48.37556458,1383800
09-02-2005,48.15398919,48.56626413,48.12306572,48.50442505,2125800
10-02-2005,48.17977052,48.27768766,47.79841499,47.84994888,1240000
11-02-2005,47.64895017,47.91693262,47.61803063,47.8190155,1275200
14-02-2005,47.87571277,48.035469,47.78810477,47.96847534,295000
15-02-2005,47.72107606,47.85506722,47.70561629,47.72623062,900200
16-02-2005,47.67471984,47.70563938,47.30882419,47.54588318,1189700
17-02-2005,47.28822652,47.4840569,47.20576914,47.24699783,1146400
18-02-2005,46.66460382,46.87073917,46.61822061,46.82435989,2655800
21-02-2005,46.66460382,46.87073917,46.61822061,46.82435989,0
22-02-2005,46.7058636,46.76770661,46.58733608,46.61825562,914600
23-02-2005,46.96871477,46.98417455,46.60281895,46.77288437,1115000
24-02-2005,46.97900332,47.0666113,46.66979218,46.66979218,798500
25-02-2005,46.83983791,46.96867452,46.7006961,46.89652634,588800
28-02-2005,46.94808155,46.94808155,46.32451254,46.3915062,2797300
01-03-2005,46.2891309,46.45455984,46.24260191,46.37701416,1648500
02-03-2005,46.24261225,46.38219529,46.2271039,46.31498718,1139300
03-03-2005,46.33049702,46.42355107,46.2426098,46.28913879,1600600
04-03-2005,46.52176009,46.87329706,46.4597267,46.79058456,1567000
07-03-2005,46.9663583,47.03873322,46.91466249,46.97669983,889800
08-03-2005,46.5941608,46.66653575,46.49593991,46.53212738,680400
09-03-2005,46.10301742,46.21675055,45.72046378,45.77215958,2549600
10-03-2005,45.87557908,46.18059119,45.6946417,46.05134964,1357700
11-03-2005,45.82901936,45.94275247,45.69977791,45.71528625,1017900
14-03-2005,45.68430685,46.00999416,45.64811937,45.98931503,805000
15-03-2005,46.15989419,46.16506495,45.69979477,45.69979477,963900
16-03-2005,45.77218613,46.19609824,45.77218613,45.97897339,2097800
17-03-2005,46.19090913,46.30981304,46.07200916,46.12887573,1025300
18-03-2005,45.95829758,45.99965583,45.83939362,45.83939362,722700
21-03-2005,45.8393894,45.8393894,45.68946874,45.71014786,893100
22-03-2005,45.97896739,46.03583397,45.25521404,45.32241821,2544900
23-03-2005,45.25006613,45.57575747,45.25006613,45.53956604,1951700
24-03-2005,45.6584564,45.73083135,45.58608144,45.63260651,746800
25-03-2005,45.6584564,45.73083135,45.58608144,45.63260651,0
28-03-2005,45.48786681,45.49303758,45.34828764,45.3534584,382200
29-03-2005,45.53439298,45.63778466,45.48786396,45.62227631,1135000
30-03-2005,45.59639242,45.88072525,45.57571725,45.84970856,1095600
31-03-2005,46.11336822,46.21159302,45.93760166,46.18057632,2410900
01-04-2005,46.45561029,46.52306764,45.92116125,46.33626938,2805300
04-04-2005,46.32588196,46.52306007,46.2688045,46.32588196,754800
05-04-2005,46.30512425,46.36739164,46.14427176,46.20653915,733300
06-04-2005,46.39331251,46.40887836,46.28434364,46.36736679,402800
07-04-2005,46.33625436,46.48154097,45.97822382,45.99378967,973000
08-04-2005,45.95227235,46.18058211,45.83811747,46.15463638,438600
11-04-2005,46.16501231,46.50228699,46.14944645,46.40369797,1460200
12-04-2005,46.29989453,46.9069862,46.24281713,46.83434296,1931500
13-04-2005,46.88105196,46.92775346,46.59566884,46.72019958,1001700
14-04-2005,46.74098593,46.76174173,46.523056,46.64758682,1461800
15-04-2005,46.97967709,47.28063024,46.81363465,47.26506042,2807300
18-04-2005,47.41032615,47.42070206,47.18720637,47.22871399,3510800
19-04-2005,47.39478271,47.75800328,47.38440679,47.68535995,1733600
20-04-2005,47.33249095,47.61787412,47.31173516,47.56598663,1617900
21-04-2005,47.37405632,47.4363198,47.06272311,47.06791306,1288500
22-04-2005,47.35842506,47.5192814,47.26502601,47.46220398,876300
25-04-2005,47.56084068,47.64385994,47.4830074,47.60234833,818300
26-04-2005,47.73201557,47.76315122,47.39474104,47.52965164,549300
27-04-2005,47.76317799,47.84100727,47.63345725,47.69572067,684900
28-04-2005,47.76318543,48.07451446,47.71129396,48.04856873,1062000
29-04-2005,48.03300666,48.22499482,47.85139837,47.96555328,1445100
02-05-2005,47.98635967,48.04364159,47.757232,47.95511246,1358200
03-05-2005,47.94471711,48.18946649,47.86660501,48.0853157,1884900
04-05-2005,47.62186431,47.7624669,47.41357064,47.66352463,2211500
05-05-2005,47.54371876,47.82491578,47.49684994,47.77284241,1757900
06-05-2005,47.35108623,47.49168487,47.28859574,47.41878128,850600
09-05-2005,47.3927146,47.51248299,47.38750607,47.46561813,327800
10-05-2005,47.57497616,47.80410385,47.5645591,47.80410385,495500
11-05-2005,47.98113718,48.17901758,47.90302514,47.94989395,1058700
12-05-2005,47.90824721,48.1529965,47.76244013,48.13737488,657000
13-05-2005,48.27798315,48.43941188,48.2050796,48.32485199,1698100
16-05-2005,48.44982172,48.46544334,48.26235434,48.26756287,824800
17-05-2005,48.40817789,48.52795031,48.37693464,48.40296936,856300
18-05-2005,48.79350983,48.84558719,48.60604245,48.72581482,1092300
19-05-2005,48.79347901,48.79347901,48.57476852,48.60080719,948800
